,household_number,source,provenance,declarant_name,declarant_name_parsed,declarant_id,name_of_family_members,name_of_non_family_members,slaves,declarant_occupation,verif_photo,discussion
182,173 Pr 6,P.Brux. I 6,"Thelbonthon Siphtha (Prosopite), 19/7/174",Athas s. Pnepheros,['Athas'],['173 Pr 6-d1'],[],[],[],,"P.Brux.inv. E.7616 recto, vi; PI. II; photograph.",Complete. Declares property in which no one lives.
183,173 Pr 7,P.Brux. I 7,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thapsois d. Pnepheros (s. Herakleides),['Thapsois'],['173 Pr 7-d1'],"['(1) Thapsois [declarant] d. Pnepheros (s. Herakleides) and Thermouthis (d. Psosnaus), 47', '(2) Hierakion alias Horos, s. Petos (husband of Thapsois), 55', '(3) Sarapammon s. Hierakion [no.2] and Thapsois [declarant], 6', '(4) Psosnaus s. Hierakion [no.2] and Thapsois [declarant], 3']",[],[],,"P.Brux.inv. E.7616 recto, vii; photograph.",Complete.
184,173 Pr-8,P.Brux. I 8,"Thelbonthon Siphtha (Prosopite), 19/7/174",Pnepheros freedman of Phimouis,['Pnepheros'],['173 Pr-8-d1'],"['(1) Pnepheros [declarant] freedman of Phimouis, son of Thamounis (d. Aphrodit(e?)), 70']",[],[],,"P.Brux.inv. E.7616 recto, viii; photograph.",Complete.
185,173 Pr 9,P.Brux. I 9,"Thelbonthon Siphtha (Prosopite), 19/7/174","Pantbeus s. Eudaimon (s. Orsenoupis [s. Petos]), and Thermouthis d. Petos (s. Petsiris)",['Pantbeus'],['173 Pr 9-d1'],[],[],[],,"P.Brux.inv. E.7616 recto, ix; photograph.","Complete. Apparently Pantbeus and his great-aunt declare their three- fifths of property coming from his grandfather = her brother Orsenoupis, in which no one lives. Unlike eds., we take Eudaimon as patronymic rather than as a second name for Pantbeus."
186,173 Pr 10,P.Brux. I 10 (cf. BASP2S [1991] 16-17),"Thelbonthon Siphtha (Prosopite), 19/7/174","Pantbeus s. Petos, Tithoennesis s. Petos, Haronnesis s. Petos, and Phalakres s. Petos","['Pantbeus', 'Tithoennesis', 'Haronnesis', 'Phalakres']","['173 Pr 10-d1', '173 Pr 10-d2', '173 Pr 10-d3', '173 Pr 10-d4']","['(1) Pantbeus [declarant] s. Petos (s. Pnepheros) and Thaeies (d. Psenamounis), 49', '(2) Theros d. Ammonios (s. Hephaistion) and Taphibichis, wife of Pantbeus [no.l], 21', '(3) Petos s. Pantbeus and Thapsathis (d. Petos), 10', '(4) Ammonios s. Pantbeus [no.l] and Theros [no.2], 5', '(5) Taphibichis d. Pantbeus [no.l] and Theros [no.2], 4', '(6) Thaeies d. Pantbeus [no.l] and Theros [no.2], 2', '(7) Tithoennesis [declarant] s. Petos and Thaeiees, < 4 > 4', '(8) Serathes d. Petos and Thaeies, sister and wife of Tithoennesis [no.7], 40', '(9) Theros d. Tithoennesis [no.7] and Serathes [no.81, 12', '(10) Thapsathis d. Tithoennesis [no.7] and Serathes [no.8], 8', '(11) Phalakres [declarant] s. Petos (s. Pnepheros) and Thaeies (d. Psenamounis), 30', '(12) Taartysis d. Saiphis (s. Pnepherontithoes) and Achilleis, wife of Phalakres [no. 11], 30', '(13) Nouatis d. Phalakres [no.ll] and Thermouthis (d. of Pnepheros), 5', '(14) Haronnesis [declarant] s. Petos (s. Pnepheros) and Thaeies (d. Psenamounis), 21', '(15) Thanibichis d. Herpaesis and Thsenamounis, wife of Haronnesis [no. 14], 19', '(16) Herpaesis s. Haronnesis [no. 14] and Thanibichis [no.15], 2', '(17) Thsenamounis d. Haronnesis [no. 14] and Thanibichis [no. 15], 1']",[],[],,"P.Brux.inv. E.7616 recto, x; photograph.",Complete. The order in which the brothers are given and his wife's age support the supposition that the scribe has simply omitted a mu in the age of no.7.
187,173-Pr-11,P.Brux. I 11 (cf. BASP2& [1991] 17-19),"Thelbonthon Siphtha (Prosopite), 19/7/174",Harendotes s. Pantbeus (s. Pnepheros),['Harendotes'],['173-Pr-11-d1'],"['(1) Serathes d. Phimouis and Aphrodite, 48', '(2) Harendotes [declarant] s. Pantbeus (s. Pnepheros) and Serathes [no.l], 15']",[],[],,"P.Brux.inv. E.7616 recto, xi; PI. Ill; photograph.","Complete. See BASP 28 (1991) 17-19 for a detailed discussion of this text. The property was formerly that of Pantbeus, the (probably dead) father of Harendotes, whose mother is listed first even though he is the nominal declarant."
188,173-Pr-12,P.Brux. I 12,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thesies and Thermouthis daughters of Pnephero( ) (s. Phal( )),"['Thesies', 'Thermouthis']","['173-Pr-12-d1', '173-Pr-12-d2']","['(1) Thounonsis d. Pnepheros and Theros, 54']",[],[],,"P.Brux.inv. E.7616 recto, xii; PI. Ill; photograph.","Complete. As no relationship between the single occupant of the noubis and lot, owned by the declarants, and the latter is given, the occupant is presumably not a relative but a renter."
189,173-Pr-13,"P.Brux. I 13 (cf. Bingen, Cd'E 47 [1972] 231-35; BL 7.31-32)","Thelbonthon Siphtha (Prosopite), 19/7/174","Pantbeus s. Hartysis (s. Pnepherotithoes), Stoetis his sister, and Thapeis and Thanibechis daughters of Peebos","['Pantbeus', 'Stoetis', 'Thapeis', 'Thanibechis']","['173-Pr-13-d1', '173-Pr-13-d2', '173-Pr-13-d3', '173-Pr-13-d4']","['(1) Pantbeus [declarant] s. Hartysis (s. Pnepherotithoes) and Thsontithoes (d. Pnepherotithoes), 40', '(2) Pnepherotithoes s. Pantbeus [declarant] and Stotoetis d. Pnepherotithoes, 16', '(3) Thapeis d. Peebos (s. Pnepheros) and Hierakiaina (d. Harphichis), 13']",[],[],,"P.Brux.inv. E.7616 recto, xiii; PI. HI; photograph.","Complete. P.Brux. gives a stemma, based on Bingen's arguments, showing the three non-resident declarants (sister and two nieces of Pantbeus). Thapeis [no.3] is of uncertain relationship to the other two residents; she is not the Thapeis who figures among the declarants."
190,173-Pr-14,P.Brux. I 14,"Thelbonthon Siphtha (Prosopite), 19/7/174",Tatithoes d. Petephnouthis,['Tatithoes'],['173-Pr-14-d1'],"['(1) Tatithoes [declarant] d. Petephnouthis and Taertysis (d. Harphbichis), 60', '(2) Thermouthis d. Pnepheros (s. Pnepheros) and Tatithoes [declarant], 20']",[],[],,"P.Brux.inv. E.7616 recto, xiv; photograph.","Complete. Tatithoes calls herself yvvrj, translated by Nachtergael as ""veuve""; the point of the term is the contrast with OvyaTrjp, as Thermouthis is called. Cf. P.Brux. I 4 for a parallel."
191,173 Pr-15,P.Brux. I 15,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thermouthion d. Tantbeus,['Thermouthion'],['173 Pr-15-d1'],"['(1) Thermouthis [declarant] d. Tantbeus, 42', '(2) Tithoennesis s. Pnepheros and Thermouthis [declarant], 19', '(3) Areia d. Hierakion the freedman of Pnepherontithoes s. Saiphis, 16', '(4) Thermouthis d. Areia [no.3], 1', '(5) Perpheis s. Pnepheros (s. Tilhoes) and Thermouthis [declarant] (d. Tantbeus), 10', '(6) Dionysios s. Pnepheros (s. Tithoes) and Thermouthis [declarant] (d. Tantbeus), 9']",[],[],,"P.Brux.inv. E.7616 recto, xv; photograph.","Complete. Nachtergael shows no.2 as the son of the declarant by a first husband Pnepheros s. Tithoennesis, and nos.5-6 as her sons by a sec- ond husband Pnepheros s. Tithoes. This seems an unnecessary multiplication of husbands; all three can perfectly well be by Pnepheros s. Tithoes. He also shows Areia [no.3] as the wife of Tithoennesis [no.2], something not stated by the declaration; nor does the declaration call Thermouthis [no.4] the daughter e£ an<t>OTepav (as with Dionysios, no.6)."
192,173 Pr-16,P.Brux. 116#,"Thelbonthon Siphtha (Prosopite), 19/7/174","Pantbeus and Tithoenesis and Palakres and Haronnesis, all sons of Petos s. Pnepheros","['Pantbeus', 'Tithoenesis', 'Palakres', 'Haronnesis']","['173 Pr-16-d1', '173 Pr-16-d2', '173 Pr-16-d3', '173 Pr-16-d4']",[],[],[],,"P.Brux.inv. E.7616 recto, xvi; photograph.",Complete. They declare properties in which no one is registered. The same declarants appear in 173-Pr-10.
193,173-PM7,P.Brux. 117,"Thelbonthon Siphtha (Prosopite), 20/7/174",Ammonios s. Amenneus,['Ammonios'],['173-PM7-d1'],"['(1) Ammonis [declarant] s. Amenneus (s. Harnektotes) and Smithis (d. Harnektotes), 47', '(2) Smithis d. Harnektotes and Therepsois, mother of Ammonis [declarant], 69']",[],[],,"P.Brux.inv. E.7616 recto, xvii; photograph.",Complete.
194,173 Pr 18,P.Brux. 118,"Thelbonthon Siphtha (Prosopite), 19/7/174","Kallinikos and Osarapollon and Areia, all children of Apollonios, and Heraklas and Kallinikos both sons of Asklepiades","['Kallinikos', 'Osarapollon', 'Areia', 'Heraklas', 'Kallinikos']","['173 Pr 18-d1', '173 Pr 18-d2', '173 Pr 18-d3', '173 Pr 18-d4', '173 Pr 18-d5']",[],[],[],,"P.Brux.inv. E.7616 recto, xviii; photograph.",Complete except losses along right margin. Declare property in which no one is registered.
195,187-An 1,"P.Oxy. VIII 1110 (cf. BL 1.332, 3.134, 7.135, 8.241)","Antinoopolis, 187/8",Dioskourides s. Zoilos (s. Dioskourides),['Dioskourides'],['187-An 1-d1'],"['(1) Dioskourides [declarant] s. Zoilos (s. Dioskourides), 2[.]', '(2) ?NN, d.? Zoilos gd.? Zoilos [prob. wife of Dioskourides (declarant)], age lost']",[],"['(1) NN, age lost', '(2) Narkissos, 28', '(3) Horos, age lost', '(4) Pamonthis, 22', '(5) Paulemis alias Paulinus, age lost', '(6) NN, [.]6', '(7) Ploution, 22', '(8) Didymos, age lost', '(9) NN, offspring of Sarapias, 4', '(10) NN, 19', '(11) Sarapias, age lost', '(12) (?P)inarous alias Peina, 12', '(13) NN, 24']",,"Bodl. Ms. Gr. Class, e 100 (P); photograph.","Many lacunae; minimum of about 20 letters lost at left, probably with some slaves lost. Broken at bottom; only date and subscription lost there. For the declarant, see the discussion of D. Hagedorn, P.Koln HI 143.9-1 In. He suggests that the Zoilos s. Zoilos of line 11 is the declarant's brother. But the persons declared later in the text are in the nominative, and Zoilos therefore cannot be among them. (This person could also be in the accusative; but not the genitive). Rather, Zoilos must be the father of the person declared. In that event it is unlikely (though not impossible) that he is the declarant's brother. We have adopted with hesitation the editors' view that this is the declarant's wife."
196,187-An-2,"PS7XII 1227 (cf. BL 3.229, 6.185, 8.408)","Antinoopolis, 12/8/188",Valerius alias Philantinoos s. Philantinoos alias Nilammon (s. Herak- leides),['Valerius alias Philantinoos'],['187-An-2-d1'],"['(1) Valerius alias Philantinoos [declarant] s. Philantinoos, 24', '(2) Didyme d. Lysimachos alias Didymos (s. Herakleides), wife of Valerius alias Philantinoos [declarant], 21']","['(1) Sarapion, freedm. of Philantinoos alias Nilammon [father of declarant], 38']","['(1) Diodora, 42', '(2) Koprias, male offspring of Diodora [no.l], 15 (uncertain; 8 is possible)']",,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Virtually complete. Recto has accounts; this is a copy of the original, made on the verso. Spouses are perhaps first cousins. This belongs to the archive of P.Fam.Tebt., cf. 187-Ar-19."
197,187-Ar-l,P.Stras. V 313 (cf. BASP21 [1990] 11),"Arsinoe, 25/5/189",Tasoucharion,['Tasoucharion'],['187-Ar-l-d1'],[],[],[],,"P.Stras.inv.gr. 1221(b), seen 14/3/1989.","Broken at right. Declaration only of property. It is not clear what the relationship of names in lines 6-7 is to the declarant; Taorsenouphis in 6 is feminine, in accusative. Whose metronymic (line 7) is not clear."
198,187 Ar 2,P.Flor. I 102 + P.Prag. I 17 (= SB III 6696); cf. Tyche 5 [1990] 200;,"Soknopaiou Nesos (Arsinoite), 188/9","Stotoetis s. Anchophis the younger (s. Panephremis) and Thases, priest of the 3rd tribe of Soknopaios",['Stotoetis'],['187 Ar 2-d1'],"['(1) Stotoetis [declarant] s. Anchophis the younger (s. Panephremis) and Thases, priest, 43', '(2) Taouetis d. Stotoetis the elder (s. Pakysis) and Herieus, wife of Stotoetis [declarant], 43 (corr. from 41?)', '(3) Panephremis s. Stotoetis [declarant] and Taouetis [no.2], age lost', '(4) Th[ , d.? of Stotoetis [declarant] and Taouetis [no.2], age lost', '(5) Thases d. Stotoetis [declarant] and Taouetis [no.2], 6']",[],[],priest of the 3rd tribe of Soknopaios,"Right half in Florence, Biblioteca Laurenziana; seen 25/5/1989; left","Virtually complete with two halves except for minor losses in the mid- dle. See L. Vidman, ZPE 11 (1989) 225-26 for combination."
199,187 Ar 3,P.Laur. Ill 66,"Philadelphia (Arsinoite), 188/9","NN s. Sabinos, from the metropolis",['NN'],['187 Ar 3-d1'],[],[],"['(1) Isidora, 25', '(2) NN, age lost', '(3) —aktike, 33 (very uncertain)', '(4) Thermouthas, age lost']",,"Florence, Biblioteca Laurenziana; seen 25/5/1989; P.Laur. Ill, pi.","Broken at left and an abraded, almost blank, strip along a join down the middle. A declaration only of property, including probably four slaves (no.2 is not certain, posited for the size of the lacuna) belonging to Nemesilla."
200,187-Ar-4,BGUl 115 i = W.Chr. 203U,"Arsinoe, 189",Herodes s.,['Herodes'],['187-Ar-4-d1'],"['(1) Herodes [declarant] s. Heron (s. Herakleides) and Eirene, weaver, 5[.]', '(2) Eirene d. Heron (s. Herakleides) and Eirene, sister and wife of Herodes [declarant], 54', '(3) Heron s. Herodes [declarant] and Eirene [no.2], weaver (?), 29', '(4) Neilos s. Herodes [declarant] and Eirene [no.2], goldsmith, 26', '(5) Sarapion s. Herodes [declarant] and Eirene [no.2], age lost', '(6) Herakleides s. Herodes [declarant] and Eirene [no.2], 9', '(7) Euporas s. Herodes [declarant] and Eirene [no.2], 7', '(8) NN d. Herodes [declarant] and Eirene [no.2], 23', '(9) Neilliaina d. Herodes [declarant] and Eirene [no.2], wife of Heron [no.3], age lost', '(10) Thaisarion d. Herodes [declarant] and Eirene [no.2], 17', '(11) Herodes s. Heron [no.3] and Neilliaina [no.9], 1', '(12) Tryphon s. Heron [no.3] and Neilliaina [no.9], 1', '(13) Thermoutharion d. Kastor (s. Heron) and Isidora, wife of Neilos [no.4], 29', '(14) NN s. Neilos [no.4] and Thermoutharion [no.13], 13', '(15) Heron s. Neilos [no.4] and Thermoutharion [no. 13], age lost', '(16) Heron s. [Herakleides] [deceased brother of declarant] and Eirene, cloth-beater, 34', '(17) Apion s. [Herakleides] [deceased brother of declarant] and Eirene, workman, 24', '(18) Herakleides s. [Herakleides] [deceased brother of declarant] and Eirene, goldsmith, 19', '(19) Thaisarion d. [Herakleides] [deceased brother of declarant] and Eirene, wife of Heron [no.16], 17', '(20) Syra d. Heron [no. 16] and Thaisarion [no. 19], 1']","['(1) Neilos s. Demetrios (s. NN) and Thaisarion, donkey- driver, 44', '(2) Eirene d. Demetrios (s. NN) and Thaisarion, sister and wife of Neilos [no.l], 52', '(3) Kastor s. Neilos [no.l] and Eirene [no.2], 8', '(4) Heron s. Kastor (s. Heron) and Isidora, brother of Thermoutharion [kin no. 13], cloth-beater, 34', '(5) Melanas s. Kastor (s. Heron) and Isidora, brother of Thermoutharion [kin no. 13], gardener, 32', '(6) Heron s. Herakleides (s. Heron) and Didyme, workman, 26', '(7) NN d. Herakleides (s. Heron) and Didyme, sister of Heron [no.6], 23']",[],,"Berlin, P.1326, col. i; seen 15/4/1991.","Damaged at left, and smaller holes throughout. The persons listed under ""non-kin"" are described as renters by the declarant, but some of them are in fact related; quite possibly all were kin. The possible confusion in such a household can be seen in the presence of two 34-year old pot&bioTcu named Heron, or two Eirenes in their early 50s! Kin nos. 11 and 12 are described as twins."
201,187 Ar-5,BGU I 115 ii = W.Chr. 203 (cf. BL 3.8)#,"Arsinoe, 24/6/189","Sarapammon s. Apollonios (s. NN) and Didymarion, katoikos",['Sarapammon'],['187 Ar-5-d1'],"['(1) Sarapammon [declarant] s. Apollonios (s. NN) and Didymarion, katoikos, 70']",[],"['(1) Aunes, slave of Sarapammon [declarant], age lost']",,"Berlin, P.1326, col. ii; seen 15/4/1991.",Broken at right with significant loss. Lines 16-22 are occupied with a list of Aunes' former owners. Lines 23-25 record that the declarant's daughter Didymarion is registered by her husband Achilleus s. Apollonios along with their children Valerius and NN in another amphodon.
202,187 Ar 6,BGUI 116 \U,"Arsinoe, 28/8/189",Horigenes s. Isidoros,['Horigenes'],['187 Ar 6-d1'],"['(1) Melas s. Heraklas (s. Zenas) and NN, workman (?) age lost (probably 18 or 28)']",[],[],,"Berlin, P.1327, col. i; seen 15/4/1991.",Broken at left with considerable loss (nearly all restored). The one person declared is presumably a renter of the two-thirds of a house owned by the declarant and its sole occupant.
203,187 Ar-7,BGU I 116 ii (cf. BL 8.19),"Arsinoe, 28/8/189","Ision s. Patron alias Patalos (s. Demetrios) and Chousarion, katoikos",['Ision'],['187 Ar-7-d1'],"['(1) Ision [declarant] s. Patron alias Patalos (s. Demetrios) and Chousarion, katoikos, workman, 17', '(2) Herois d. Patron alias Patalos (s. Demetrios) and Chousarion, sister of Ision [declarant], 14']",[],[],,"Berlin, P.1327, col. ii; seen 15/4/1991.",Complete except for minor holes. Ision does not declare Herois as his wife.
204,187-Ar-8,BGUl 111 (cf. BL 8.19; BASP29 [1992] 103-04),"Arsinoe, 20/8/189",Dioskoros s. NN (s. Herakleides),['Dioskoros'],['187-Ar-8-d1'],"['(1) Dioskoros [declarant] s. NN (s. Herakleides), farmer, 68', '(2) Thaisarion, ?freedwoman of Thaisarion d. Souchas (s. Mysthes) and Heraklous, wife of Dioskoros [declarant], age lost', '(3) Horion s. Dioskoros [declarant] and Thaisarion [no.2], farmer, age lost', '(4) NN s. Dioskoros [declarant] and Thaisarion [no.2], scribe, 17', '(5) Satornilos s. Dioskoros [declarant] and Sarapous (d. Horion), farmer, age lost', '(6) Harpokratiaina d. Dioskoros [declarant] and Thaisarion [no.2], wife of Satornilos [no.5], age lost', '(7) Satornilos s. Satornilos [no.5] and Harpokratiaina [no.6], age lost', '(8) Satornila d. Satornilos [no.5] and Harpokratiaina [no.6], 14', '(9) Artemidora alias ?Dioskorous, d. Dioskoros [declarant] and Thaisarion [no.2], 20', '(10) Tasoucharion d. Dioskoros [declarant] (and Thaisarion [no.2]), age lost', '(11) Than[ apator (female), 29', '(12) Sarapous apator, 8']",[],[],,"Berlin, P.1328; seen 16/4/1991.","Substantial loss at right, small holes at left and elsewhere. Complete top and bottom."
205,187 Ar-9,BGUl 118 i (cf. BL 1.21; BASP29 [1992] 104),"Arsinoe, 189",Nemesilla alias Kyrilla,['Nemesilla'],['187 Ar-9-d1'],"['(1) Nemesilla alias Kyrilla [declarant], 39', '(2) NN, son of NN and Nemesilla alias Kyrilla [declarant], 16', '(3) NN, child of Nemesilla, age lost']","['(1) —don (male), 54']","['(1) Bithyne, 28', '(2) NN, offspring of Rhodine, age lost']",,"Berlin, P.1329, col. i; seen 16/4/1991.","Only the right-hand part preserved, with about three-quarters lost to the left. Broken also at top. The household certainly contained more persons than can now be recovered."
206,187-Ar-10,BGUl 118 ii (cf. BL 1.21),"Arsinoe, 26/5/189","Mysthes, ropemaker, andTamystha",['Mysthes'],['187-Ar-10-d1'],"['(1) Mysthes [declarant], ropemaker, 36', '(2) Tamystha [declarant], sister of Mysthes [no.l], 49', '(3) Kyrilla d. Chaireas (s. Herakleides s. Dionysios) and Tamystha [no.2], 10']",[],[],,"Berlin, P.1329, col. ii; seen 16/4/1991.","Broken at top, and with minor losses elsewhere. Kyrilla's father is Tamystha's divorced husband. Mysthes acts as Tamystha's kyrios."
207,187-Ar 11,BGUl 118 iii (cf. BL 1.21)0,"Arsinoe, 5-6/189","Chaireas, woolwasher",['Chaireas'],['187-Ar 11-d1'],"['(1) Chaireas [declarant], woolwasher, 54', '(2) Dioskoria d. An[ (s. Sarapion) and Thotarion alias Sarapias, wife of Chaireas [declarant], 34', '(3) —domias s. Chaireas [declarant] and Dioskoria [no.2], 15', '(4) —rios s. Chaireas [declarant] and Dioskoria [no.2], 9', '(5) Chaireas s. Chaireas [declarant] and Dioskoria [no.2], age lost', '(6) Dioskor[ s./d. Chaireas [declarant] and Dioskoria [no.2], age lost']",[],[],woolwasher,"Berlin, P.1329, col. iii; seen 16/4/1991.","Broken at top and at right, with large losses. The sex of nos. 3 and 4 is assumed to be masculine from their placement before Chaireas. It is pos- sible that one more child is lost in the lacuna at the end."
208,187-Ar-12,BGU1120,"Arsinoe, 21/8/189",Name lost,['Name lost'],['187-Ar-12-d1'],"['(1) Didymos s. Sarapion (s. Souchas) and Helene, 21', '(2) Thermoutharion d. Sarapion (s. Souchas) and Helene, sister and wife of Didymos [no.l], age lost', '(3) Klaudios s. Didymos [no.l] and Thermoutharion [no.2], under 1 (born in current year)', '(4) NN s./d. Didymos [no.l] and Thermoutharion [no.2], age lost']",[],[],,"Berlin, P.1330; seen 16/4/1991.","Broken at top and some damage at right. No.4 is probably a daughter, since (s)he is listed after a son just born in the current year."
209,187-AM3,"BGU I124 (cf. BL 1.22, 8.19)0","Arsinoe, 189","NN s. Chaireas (s. NN) and Thaisarion alias Theano, priest of Petesouchos",['NN'],['187-AM3-d1'],"['(1) NN [declarant] s. Chaireas (s. NN) and Thaisarion alias Theano, priest of Petesouchos, 36', '(2) Thais d. Ptolemaios (s. Harpokration) and Thaisarion alias Ch[, 23', '(3) NN, female']",[],[],priest of Petesouchos,"Berlin, P.1358; seen 12/4/1991.","Broken at top, bottom, and upper and lower left. Apparently from an extract from a register rather than a declaration itself (cf. line 10). Apart from the priest, who is apparently the declarant, only the females are extracted from the declaration. The relationship of no.2 to the declarant is not clear, and nothing can be said about no.3 except that the name Theano fig- ured somewhere in her entry. More persons may have been listed."
210,187-AM4,BGU1126,"Arsinoe, 189",Herakleides s. Am[ (s. NN) and —lous (daughter oikatoikos),['Herakleides'],['187-AM4-d1'],"['(1) Herakleides [declarant] s. Am[ (s. NN) and —lous (daughter oikatoikos), age lost']",[],[],,"Berlin, P.1352 + 1340; seen 16/4/1991.",Broken at right and below with loss of all listed persons except the declarant.
211,187-Ar-15,BGU I 128 i,"Arsinoe, 189",Name lost,['Name lost'],['187-Ar-15-d1'],"['(1) Thermoutharion', '(2) Tourbon (m.)', '(3) Apia, 10', '(4) Tourbon (m.)']",[],"['(1) -lla, 36', '(2) NN offspring of—lla [no.l], age lost']",,"Berlin, P.1332, col. i; seen 16/4/1991.",Broken except at right. The list of family members is partial and uncertain.
212,187 Ar-16,BGUI 128 n#,"Arsinoe, 189","Herakleides, linenweaver",['Herakleides'],['187 Ar-16-d1'],"['(1) Herakleides [declarant], linenweaver, age lost', '(2) NN, perhaps wife and sister of Herakleides [declarant], age lost']",[],[],linenweaver,"Berlin, P.1332, col. ii; seen 16/4/1991.","Broken at top, right, and bottom. Both family and renters were evi- dently declared, but they are mostly lost."
213,187-AM7,BGU I 129#,"Arsinoe, 189",Name lost,['Name lost'],['187-AM7-d1'],[],[],[],,"Berlin, P.1341; seen 16/4/1991.","Broken at top, right, and bottom. The declarant declared at least him- self or herself."
214,187-Ar-18,BGU I 138 (cf. BL 4.3)0,"Arsinoe, 189",Apion s. Harpokration (s. NN) and Sarapous,['Apion'],['187-Ar-18-d1'],"['(1) Deios s. Heron the younger (s. Kapiton alias NN) and Besous (freedwoman of Hermione d. Didas), katoikos, 31', '(2) Soterichos s. Deios (s. Triadelphos) and NN, 72', '(3) NN s. Soterichos [no.2] and Melanous, farmer, 43', '(4) Protas s. Ze[ (s. NN alias Matrone[) and ]phis, farmer, age lost', '(5) NN s. Ptolemaios (s. NN) and Segathis, 20', '(6) Harpokration s. NN (s. Sotas), age lost']",[],[],,"Berlin, P.1331; seen 16/4/1991.","Broken at left (small loss), right (larger loss), and bottom (in the mid- dle of the list of persons). Apion declares a house belonging to him, with its renters. Enough information is lost that the interrelationships of most of the renters cannot be determined, and it is possible that some of them are non- kin."
215,187-AM9,P.Fam.Tebt. 44.13-220,"Arsinoe, 189",Valerius alias Philantinoos and Philantinoos alias Herodes sons of Philantinoos alias Neilammon (s. Herakleides),"['Valerius alias Philantinoos', 'Philantinoos alias Herodes']","['187-AM9-d1', '187-AM9-d2']",[],[],[],,"London, BL inv. 1914A; seen 2/4/1991.","Broken at right and damaged below; copy of an original declaration. Though the end is damaged, it appears that only property is declared, not any inhabitants. Cf. 187-An-2."
216,187-Ar-20,P.Lond.inv. 1914B {P.Fam.Tebt. p. 152),Arsinoe,Not given,['Not given'],['187-Ar-20-d1'],[],[],[],,"London, BL inv. 1914B; seen 3/4/1991.","Fragments mentioned, not published. Said to be written in the same hand as 187-Ar-19 (P.Fam.Tebt. 44, BL inv. 1914A). The fragments seem too small and scattered to yield any connected sense or usable data."
217,187-Ar-21,"PS/ined. (Calderini, 15 n.2)",Arsinoe,Not known Family members; Free non-kin; Slaves: Not known,['Not known Family members; Free non-kin; Slaves: Not known'],['187-Ar-21-d1'],[],[],[],,Not seen,So far not able to be identified in Florence.
218,187-Ar-22,"P.Tebt. II 322 (= Sel.Pap. II 313) (cf. BL 3.242, 4.97; JJurPap 21","Arsinoe, 27/8/189","Achilleus s. Apollonios (s. Lourios alias Apollonios), katoikos",['Achilleus'],['187-Ar-22-d1'],"['(1) Pasigenes s. Theon (s. Eutyches), donkey  driver, 61', '(2) Eutyches s. Pasigenes [no.l] and Apollonous [d. Herodes], 30', '(3) Herakleia d. Kronion (freedman of Didymos s. Heron), wife of Pasigenes [no.l], 40', '(4) Thasis d. Pasigenes [no.l] and Herakleia [no.3], 5', '(5) Sabeinos s. Sabeinos (s. Kronion) and Herakleia [no.3], woolcarder, 18', '(6) Sarapias d. Sabeinos (s. Kronion) and Herakleia [no.3], 22', ""(7) Tapesouris d. Pasigenes [no.l] and Isidora, sister on the father's side and wife of Eutyches [no.2], 18""]",[],[],,"Berkeley, P.Tebt. 322; seen 27/9/1990.","Complete. Achilleus, who is himself registered in another declaration, declares a property belonging to him and renters living in it. This family con- sists of Pasigenes' children by two previous marriages, his wife Herakleia's by a previous marriage, and their daughter together."
219,187-Ar-23,P.Tebt. II 504 (seeAegyptus 72 [1992] 71-74),"Arsinoite, 24/8/189","Heliodoros s. NN and Taesies (?), and his sister Aretina",['Heliodoros'],['187-Ar-23-d1'],"['(1) Heliodoros [declarant] s. NN and Taesies (?), age lost', '(2) Aretina d. NN and Taesies (?), full sister and wife of Heliodoros [declarant], age lost', '(3) Aretion s. Heliodoros [declarant] and Aretina [no.2], age lost', '(4) NN s. Heliodoros [declarant] and Aretina [no.2], age lost', '(5) Artemidoros (?), age lost', '(6) NN, 20', '(7) Sarapf [sex unknown], age lost', '(8) Sarapias [female], 34', '(9) —ammon [male], age lost']",[],[],,"Berkeley, P.Tebt. 504; seen 28/9/1990; photograph.","About two-thirds is lost at the right, except at the bottom, where the right part is preserved; the other margins are preserved. Some entries are probably lost. The relationships (if any) of nos. 5-9 to the declarant are unknown, and it is possible that they are renters or slaves."
220,187 Ar-24,BGUI 60 (cf. BL 1.13),"Karanis (Arsinoite), 189",—archos s. Apollonios (s. NN) and NN (d. Herakles),['—archos'],['187 Ar-24-d1'],"['(1) —archos [declarant] s. Apollonios (s. NN) and NN (d. Herakles), 61']",[],[],,"Berlin, P.6954; seen 16/4/1991.","Broken at left, right, and bottom, leaving only a small strip; persons declared other than the declarant are lost."
221,187-Ar-25,BGU II 430,"Karanis (Arsinoite), 189",Name lost,['Name lost'],['187-Ar-25-d1'],[],[],[],,"Berlin, P.7438; seen 12/4/1991.",Broken at bottom with loss of all useful information.
