,household_number_year,household_number_location,household_number_order,source,provenance,provenance_place,provenance_year,declarant_name_1,declarant_name_2,declarant_name_3,declarant_name_4,declarant_name_5,declarant_ids,declarant_occupation,number_of_family_members,number_of_non_family_members,number_of_slaves,verif_photo,discussion_text,discussion_indicates_substantive_record_brokenness
132,159,Ar,ll,P.Lond. II 182b (p. 62) (cf. BASP 21 [1990] 6-7; BASP 30 [1993] 45),"Karanis (Arsinoite), 160/1",Karanis (Arsinoite), 160/1,Petheus,,,,,['159-Ar-ll-d1'],,0,0,0,London,"Damaged before 175. One at the bottom. Isidoros (s. Petheus) and Taimouthes, 73 (1) Petheus [declarant] s. Isidoros (s. Petheus) and Taimouthes, 73 (2) Isidoros s. Petheus [declarant] and Dideis [no.4], 40 (3) Ninnaros alias Ptolemaios s. Isidoros [no.2] and Taonnophris [no.5], 2 (4) Dideis d. Isidoros, sister and wife of Petheus [declarant], age lost (5) Taonnophris d. Petheus [declarant] and Dideis [no.4], sister and wife of Isidoros [no.2], age lost None preserved British Library, BL inv. 182b; microfilm; original seen at bottom. An extract from the declaration, copied sometime or more daughters of Isidoros and Taonnophris could be lost",No
133,159,Ar,12,BGU I 90 (cf. BL 1.17) = I 224 (cf. BL 1.27) = I 225 (cf. BL 1.27) = II,"Soknopaiou Nesos (Arsinoite), 28/7/161",Soknopaiou Nesos (Arsinoite), 28/7/161,Hatres,,,,,['159 Ar 12-d1'],,3,0,0,"Berlin, P.7024, P.7291, P.6883, P.7828, P.7185; Oxford, Bodleian","Six copies of the same declaration (I 90 and II 537 to komogram- mateus, I 224 and II 410 to strategos, I 225 to laographoi, P.Grenf. II 55 to basilikos grammateus). Tapetsiris is not identified by any term of relation- ship, but neither is she called a renter. She could be a first cousin of Hatres.",No
134,159,Ar,14,P.BerlLeihg. I 16A#,"Theadelphia (Arsinoite), 27/5/161",Theadelphia (Arsinoite), 27/5/161,Apollos,,,,,['159 Ar 14-d1'],,1,0,0,"Berlin inv. 11659, col. i; seen 15/4/1991.","Broken at top, taking full identification of declarant. Apollos was the only member of the household.",Yes
135,159,Ar,15,P.BerlLeihg. I 16B,"Theadelphia (Arsinoite), 25/7/161",Theadelphia (Arsinoite), 25/7/161,Panephremmis,,,,,['159 Ar 15-d1'],,1,0,0,"Berlin inv. 11659, col. ii; seen 15/4/1991.",Complete. The declarant records that he actually lives in a OVVOIKXOL ovoianrj in Apias.,No
136,159,Ar,16,P.BerlLeihg.,"Theadelphia (Arsinoite), 31/7/161",Theadelphia (Arsinoite), 31/7/161,Horion apator,,,,,['159 Ar 16-d1'],,1,0,0,"Berlin inv. 11659, col. iii (seen 15/4/1991); Cairo, SR 3049/73","Virtually complete in both Berlin and Cairo copies. It is notable that the declarant refers to himself once as Horion, once as Horos. He actually lives in a ovvouda ovotaKij in the Arsinoite village of Pelousion.",No
137,159,Ar,17,P.BerlLeihg. I 16D (cf. BL 8.62),"Theadelphia (Arsinoite), 31/7/161",Theadelphia (Arsinoite), 31/7/161,Apynchis,,,,,['159 Ar-17-d1'],,1,0,0,"Berlin inv. 11659, col. iv; seen 15/4/1991.",Complete. The declarant records that he actually lives in the epoikion of Theon at Ptolemais Drymou.,No
138,159,Ar,18,P.Berl.Leihg. I 16E,"Theadelphia (Arsinoite), 4/8/161",Theadelphia (Arsinoite), 4/8/161,Harphaesis,,,,,['159-Ar-18-d1'],,0,0,0,"Berlin inv. 11659, col. v; seen 15/4/1991.","Large middle section missing with name(s) of person(s) declared, probably only Harphaesis, who no doubt lives elsewhere.",No
139,159,Ar,19,"BGU XI 2089 = BullAinShams 1 (1985) 46-50, nos. 5-60 (SB XVIII","Arsinoite, 25/6-24/7/161",Arsinoite, 25/6-24/7/161,Taseis,,,,,['159 Ar-19-d1'],,1,0,0,"W. Berlin, P.21631 (seen 11/4/1991); Cairo, SR 3049/72 and","Berlin Cairo: Two copies, one addressed to the strategos (complete), the other to the basilikos grammateus (damaged throughout). Omar gives a revised ver- sion of BGU XI 2089.2-6 at BullAinShams 1 (1985) 50.",No
140,159,Ar,20,"P.Lond. Ill 843 (p. 28) (cf. BL 1.274, 3.94; BASP2Z [1991] 125)","Arsinoite (Soknopaiou Nesos?), 13/1/161",Arsinoite (Soknopaiou Nesos?), 13/1/161,NN,,,,,['159 Ar-20-d1'],,4,0,0,"London, British Library, inv. 843; seen 2/4/1991.","Only the bottom survives, but apparently no one is lost. Line 11 con- tains the personal name Thenosiris with the age 9, but it is not clear what the relationship to the preceding is. The declarant's age is not quite certain.",No
141,159,Ar,21,"P.Tebt. II 481, ii (see Aegyptus 72 [1992] 67-71)","Talei (Arsinoite), 25/4/161",Talei (Arsinoite), 25/4/161,Sansneus,,,,,['159 Ar 21-d1'],public farmer,8,0,0,"Berkeley, P.Tebt. 481; seen 27/9/1990; photograph.","Broken at right, otherwise complete. The age of no.7 is presumably greater than 3.",Yes
142,159,Ar,22,"P.Tebt. II 481, i (see Aegyptus 72 [1992] 67-71)","Talei (Arsinoite), 29/4/161",Talei (Arsinoite), 29/4/161,Heron,,,,,['159-Ar-22-d1'],public farmer,2,0,0,"Berkeley, P.Tebt. 481; seen 27/9/1990; photograph.",The ends of a few lines.,No
143,159,Ar,23,BGU XIII 2221 ft,"Soknopaiou Nesos (Arsinoite), 160/1",Soknopaiou Nesos (Arsinoite), 160/1,Stotoetis,,,,,['159-Ar-23-d1'],priest of the 1st tribe of Soknopaios,1,0,0,"W. Berlin, P.21751; seen 11/4/1991.","Broken at left and below, just after listing Stotoetis; other persons are lost.",Yes
144,159,Ar,24,BGU XIII 22220,"Arsinoite, 161",Arsinoite, 161,Anchopis,,,,,['159-Ar-24-d1'],,0,0,0,"W. Berlin, P.21910; seen 11/4/1991.","Broken at top (taking the full identification of the declarant), minor damage at left. No persons are declared, only property belonging to Anchopis and to his daughter Thases, in which no one is registered. A Demotic docket stands on the verso.",Yes
145,159,Ar,25,"BullAinShams 1 (1985) 42-45, nos. 3-4#","Theadelphia (Arsinoite), 30/6/161",Theadelphia (Arsinoite), 30/6/161,Tephorsais,,,,,['159 Ar-25-d1'],,1,0,0,"Cairo, SR 3049/71 and 3049/70; photographs; originals seen","Both complete; two versions of the same declaration, one addressed to the strategos and the other to the basilikos grammateus.",No
146,159,Ar,26,P.Fay. 319.20-26 (Aegyptus 70 [1990] 27-31; cf. BASP 30 [1993] 38-,"Arsinoe, 161 (document/?os/161)",Arsinoe, 161 (document/?os/161),NN,,,,,['159-Ar 26-d1'],,5,0,0,"Cairo, JE 10850; plate in Aegyptus (Tav. 1); seen 3/4/93.","Broken at right, with large loss, and torn at the bottom. This is an excerpt from the original declaration, quoted in an epikrisis document of unknown date. See 145-Ar-22 for the following declaration in the same docu- ment. There may have been other persons listed in the lost portions of the text.",Yes
147,159,Hm,1,SB VIII 9869a (Cd'E 39 [1964] 111-14)#,"Hermopolis, 28/9/160",Hermopolis, 28/9/160,NN,,,,,['159 Hm 1-d1'],,1,0,0,"P.Stras.inv.gr. 35, seen 14/3/1989","Broken at left, some damage at right and bottom. Declaration of house and one person.",Yes
148,159,Hm,2,SB VIII 9869b (Cd'E 39 [1964] 114-15),"Hermopolis, 160",Hermopolis, 160,NN,,,,,['159-Hm-2-d1'],,3,3,5,"P.Stras.inv.gr. 35, seen 14/3/1989.","Broken at right and bottom. Fragment of date at bottom indicates that no persons are lost. A name in line 9, Dionysios, in genitive, cannot be placed in syntax; Hermapollon, Boubastous, and Dionysarion are mentioned again in lines 20-22 in an uncertain context.",Yes
149,159,Hm,3,P.Oslo III 99 (cf. BL 3.126) = P.Mich.inv. 158A-B (SymbOsl 65 [1990],"Alabanthis (Hermopolite), 1-2/161",Alabanthis (Hermopolite), 1-2/161,Paesis,,,,,['159 Hm 3-d1'],hyperetes,4,0,0,"Oslo; photograph. Michigan, inv. 158A-B, seen 11/9/1990.","Various losses in the different copies, which complete one another. For the filiation of Paesis, provenance, see BASP 27 [1990] 9-10 (and reject BL 8.229).",No
150,159,Me,1,"P.Lond. Ill 915 (p. 26) (cf. BL 1.274, 8.181)","Memphis, 159/160",Memphis, 159/160,Apollonios,,,,,['159 Me 1-d1'],,2,0,0,"London, British Library, inv. 915; seen 2/4/1991.","Complete except for minor damage. The declarant and son are renters in a house belonging to Sarapion s. Sarapion. Apollonios describes Ptolema as ""long divorced"" from him.",No
151,159,Me,2,P.Rain.Cent. 59 (cf. BL 8.286),"Memphis, 7-8/160",Memphis, 7-8/160,Herakleides,,,,,['159 Me 2-d1'],,1,0,0,P.Vindob. G 39999; PI. 69.,"Complete except for small holes. Declarant is a renter in house of Sarapion s. Sarapion (s. Hartotes). Cf. P.Lond. Ill 915, 159-Me-l, in which the declarant's father Apollonios files his own declaration as living in the same house. Bingen notes in his commentary this Memphite characteristic of having children past the age of fiscal majority file separate returns even though living in the same household.",No
152,159,Me,3,P.Monac. Ill 71 #,"Memphis, 159/160",Memphis, 159/160,Papontos,,,,,['159-Me-3-d1'],,1,0,0,"Munich, P.Monac.inv. 25; Abb. 20.","Appended to a cover letter dated 4.3.164. A declaration of Papontos and his family in the house which they rent (cf. ZPE 75 [1988] 255-56), it breaks off after the start of the list of persons. The preliminaries indicate that at least two family members were declared. A fragment contains part of the oath.",No
153,159,Ox,1,P.Rein. II 93,"Oxyrhynchos, 159/160",Oxyrhynchos, 159/160,Harpaesis,,,,,['159 Ox-1-d1'],hierotek- ton,0,0,0,"Paris, Institut de Papyrologie, inv. 2105; photograph.","Broken at bottom with list of any persons declared. A copy, not original, with perhaps some abbreviation. Concerns property in the village of Mouchinor formerly belonging to declarant's mother.",Yes
154,173,Ar,l,P.Stras. IV 2680,"Philadelphia, 174/5",Philadelphia, 174/5,Lucius,,,,,['173-Ar-l-d1'],,0,0,0,"P.Stras.inv. W.G. 349, seen 14/3/1989.",Complete except at left. Only a declaration by Isidoros of property belonging to ? his mother and managed by him; no persons declared.,No
155,173,Ar,2,P.Flor. Ill 301 (cf. BL 3.57),"Soknopaiou Nesos, 29/8/175",Soknopaiou Nesos, 29/8/175,Mesoeris,,,,,['173-Ar-2-d1'],priest of the 3rd tribe of Soknopaios,4,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Complete except at left and some losses at lower right, affecting mainly the list of the children. This listing is somewhat uncertain, since declarant apparently botched the formula (cf. lln.) and most of information about the children is damaged. Tesenouphis can be masculine or feminine.",No
156,173,Ar,3,"BGUl 55 ii. 11-22 (cf. BL 1.12-13, 3.8, 4.3)0","Arsinoe, 25/8/175",Arsinoe, 25/8/175,Mysthes alias Ninnos,,,,,['173-Ar-3-d1'],,6,0,0,"Berlin, P.6914; seen 16/4/1991.","Broken at right with some loss. A copy. The editor restores Mysthes' age as 59, but he was 33 in the previous census (lines 1-10, 159-Ar-l). Zosime was 22 in that one; that number or 38 here must be in error. In that declaration sons aged 5 and 4 are declared; if still alive now, they are no longer living at home.",Yes
157,173,Ar,4,BGU I 119 (cf. BL 1.21),"Arsinoe, 26/8/175",Arsinoe, 26/8/175,NN,,,,,['173-Ar-4-d1'],tax-exempt hieronikes,0,0,0,"Berlin, P.1351; seen 15/4/1991.","Broken at top and left, with loss of most information. This was a declaration of part of a house belonging to the declarant in which no one was registered.",Yes
158,173,Ar,5,"BGUI 123 (cf. BL 2.2.14, 3.8)0","Arsinoe, 175",Arsinoe, 175,Tamystha,,,,,['173-Ar-5-d1'],,1,0,0,"Berlin, P.1338; seen 16/4/1991.","Broken at left, right, and bottom. Declaration of a single renter of property belonging to the declarant.",Yes
159,173,Ar,6,BGU I 127,"Arsinoe, 23/8/175",Arsinoe, 23/8/175,Name lost,,,,,['173-Ar-6-d1'],,0,0,0,"Berlin, P.1339; seen 16/4/1991.","A fragment from the bottom of a declaration, with loss at upper right.",No
160,173,Ar,7,BGU I 298,"Arsinoes Kome (Arsinoite), 175",Arsinoes Kome (Arsinoite), 175,Dionysios,,,,,['173 Ar-7-d1'],,2,0,0,"Berlin, P. 1353; seen 15/4/1991.",Broken at bottom with loss of any persons other than these two. We do not know what to make of the curious ftr/(rpog) nfj ypairlrrjc; ? of Ammon[arion].,Yes
161,173,Ar,8,BGUI 59 (cf. BL 1.13),"Karanis (Arsinoite), 175",Karanis (Arsinoite), 175,Diodora,,,,,['173-Ar-8-d1'],,2,0,0,"Berlin, P.6940; seen 15/4/1991.","Complete at top, bottom, and left, but about two thirds are lost at right. Probably at least two persons were declared between Diodora and Tasoueharion; Ptolla in line 20 may be the patronymic of one. It is not certain that Tasoueharion was a family member.",No
162,173,Ar,9,"BGUII 447 = I 26 (cf. BL 1.46, 3.13, 8.27; BASP29 [1992] 111)","Karanis (Arsinoite), 26/11/174",Karanis (Arsinoite), 26/11/174,Ptollas,,,,,['173 Ar 9-d1'],,8,1,6,"Berlin, P.6906; seen 12/4/1991.","Complete but with numerous small lacunae. It seems possible that either Valerius Aphrodisios, the patron of Sarapias the freedwoman, or Sempronius Herminos (owner of the slaves) was the husband as well as the brother of Taos and hence the actual father of Xanaris [no.8]; since as a soldier they could not marry, she would be officially fatherless (cf. Youtie, Hommages Preaux). Soeris and Taos are stated to be twins; they are called kin, ovyyeveic;, of the declarant. They cannot be the declarant's half-sisters, as neither parent is identical.",No
163,173,Ar,10,SB VI 9573 (Eos 48.3 [1957] 155)0,Karanis (Arsinoite),Karanis (Arsinoite),,Petronia,,,,,['173-Ar-10-d1'],,2,0,0,"Berlin, former P.Ibscher inv. 10; now P.18018; seen 16/4/1991.","Complete except at bottom, where broken before details of persons given. Petronia Gaia calls herself acting without kyrios under Roman law. The declaration included children, number and ages unknown.",Yes
164,173,Ar,ll,BGUI 302 (cf. BL 3.10; BASP 29 [1992] 108-10),"Arsinoite, 175",Arsinoite, 175,Methe,,,,,['173-Ar-ll-d1'],,6,0,0,"Berlin, P.1834; seen 12/4/1991.",Broken at right and damaged throughout. See BASP 29 (1992) 108-10 for the reconstruction of the family.,Yes
165,173,Ar,12,BGU XIII 2223 (cf. BL 8.55),"Arsinoe, 24-29/8/175",Arsinoe, 24-29/8/175,Sarapion,,,,,['173-Ar-12-d1'],,0,0,0,"W. Berlin, P.25138; PI. VI.","Broken at top, minor damage at right. This is only a declaration of property in which no one is registered, since the declarant has already reported herself in another document. Isidora is an aste, citizen of one of the Greek cities.",Yes
166,173,AM3,,"BGU XIII 2224, i = ZPE 9 (1972) 245-51, i (cf. BL 8.55)","Arsinoe, 175",Arsinoe, 175,Sarapion,,,,,['173-AM3-d1'],,1,0,0,"W. Berlin, P.21879, frag, a; seen 11/4/1991.",Broken at bottom and at right; breaks just after giving name of declarant as a person registered. Col. 65 of a tomos synkollesimos.,Yes
167,173,Ar,14,"BGU XIII 2224, ii (cf. BL 7.25) = ZPE 9 (1972) 245-51, ii","Arsinoe, 175",Arsinoe, 175,Pasion,,,,,['173-Ar-14-d1'],,0,0,0,"W. Berlin, P.21879, frag, b; seen 11/4/1991.","Broken at right and bottom; another declaration reported the freed- women, this one just concerning their property. Col. 66 of a tomos synkol- lesimos.",Yes
168,173,Ar,15,"SB XVI 12288, i.1-10 (reed. R. S. Bagnall-K. A. Worp, Archiv jur","Arsinoe, 26/8/175",Arsinoe, 26/8/175,Gaion,,,,,['173-Ar-15-d1'],,4,0,0,"E. Berlin, P. 13357, seen 15/4/1991 4- (W. Berlin), P.21383 frag,","Broken at top, minor damage elsewhere. A copy. Another text follows on the same sheet, and this and two other sheets are glued together (the back being reused as a unit). The father's presence is reconstructed from the for- mula; his name appears in the second text.",Yes
169,173,Ar,16,"P.Berol.inv. 1342 + 1345, col. i (Archiv 39 [1993] 22)","Arsinoe, 175",Arsinoe, 175,Herakleides,,,,,['173-Ar-16-d1'],,5,0,0,"Berlin, inv. P.1342+1345; seen 19/4/1991.","The combined fragments are still missing text at left and below, as well as along the upper part of the right edge; it is also possible that a line is missing at the start. Column ii is 173-Ar-17. The declarant is registering property which belongs to a woman of whom he is phrontistes, probably named Didyme d. Sarapion, an aste (i.e., citizen of one of the Greek cities of Egypt). Too much is lost to ensure the precise reconstruction of the household. No.2 may be the ward Didyme, but the traces preceding the name do not suggest that.",No
170,173,AM7,,"P.Berol.inv. 1342+1345, col. ii (Archiv 39 [1993] 21)","Arsinoe, 175",Arsinoe, 175,Not preserved,,,,,['173-AM7-d1'],,0,0,0,"Berlin, inv. P.1342+1345; seen 19/4/1991.","For column i, see 173-Ar-16. This second column is only the left edge of a declaration of an inhabited property.",No
171,173,Ar,18,P.Berol.inv. 1349 (Archiv 39 [1993] 24),"Arsinoe, 28/8/175",Arsinoe, 28/8/175,Not preserved,,,,,['173-Ar 18-d1'],,2,0,0,"Berlin, inv. P.1349; seen 19/4/1991.","Broken at top and left, with only the lower right-hand corner preserved and slight remains of another declaration preserved at the right. The relationship of no.2 to no.l is unclear; perhaps his guardian?",Yes
172,173,AM9,,P.Berol.inv. 1350 (Archiv 39 [1993] 25),"Arsinoe, 175",Arsinoe, 175,NN,,,,,['173-AM9-d1'],,1,0,0,"Berlin, inv. P.1350; seen 19/4/1991.","Broken apparently on all sides, but probably without any loss of text at top. The section in which persons were listed is almost entirely lost. The date is inferred (see ed.). The declarant speaks of registering ""myself and mine,"" so at least two additional family members were included.",Yes
173,173,Ar,20,P.Berol.inv. 1355 (Archiv 39 [1993] 26),"Arsinoe, 175",Arsinoe, 175,NN,,,,,['173-Ar-20-d1'],,1,0,0,"Berlin, inv. P.1355; seen 19/4/1991.","Fragment of the upper part of a declaration, broken at both sides with substantial loss at left. The date is inferred (see ed.). This is a declaration of lodgers, the names and ages of whom are represented only by brief traces in lines 8-13; there were probably two or three of them.",Yes
174,173,Me,l,BGU III 833 = W.Chr. 205,"Memphis, 1/10/174",Memphis, 1/10/174,Melas,,,,,['173-Me-l-d1'],,3,0,0,"Berlin, P.7097; sent to Miinster in 1907, but no longer to be found;",Complete. The declarant and his two children by different wives (nei- ther wife declared here) are renters in the house of another (cf. ZPE 75 [1988] 255-56). Cf. 145-Me-l for a possible brother of the declarant.,No
175,173,Me,2,P.Lond. Ill 919b (p. 28) (cf. BL 1.274),"Memphis, 175",Memphis, 175,Tyrannos,,,,,['173-Me-2-d1'],,1,0,0,"London, BL inv. 919b; microfilm; original seen 2/4/1991.",Broken at top and bottom. The declarant and sole person declared is a renter. His full self-description is lost.,Yes
176,173,Me,3,"SPP XX 11 (cf. BL 3.236, 8.461)0","Moithymis (Memphite), 23/7/174",Moithymis (Memphite), 23/7/174,Peteamounis,,,,,['173 Me-3-d1'],nekrotaphos,9,0,0,"Vienna, inv. G 2011; seen 22/4/1991.","Small losses at left, otherwise complete. It is not clear if no.9 is the wife of no.8; there is a small lacuna at this point. Sijpesteijn (BL 8.461) sug- gests reading the alpha of no. 6's age as the start of aafyjiog] instead as part of her age, but I do not see the basis for this (physical condition is mentioned only sporadically here).",No
177,173,Pr,l,P.Brux. I 1 (cf. BASP2S [1991] 15-16),"Theresis (Prosopite), 21/6/174",Theresis (Prosopite), 21/6/174,Sarapion,,,,,['173-Pr-l-d1'],,1,0,0,"P.Brux.inv. E.7616 recto, i; PI. I; photograph.","Complete except for strip along left edge, but the middle section where individuals were listed is badly damaged, including missing fibers, so that no entries concerning persons survive completely and clearly. Sarapion was probably the only person declared. The reading of his age is probable but not certain, cf. BASP2Z (1991) 15-16.",No
178,173,Pr,2,P.Brux. I 2 (cf. BASP2S [1991] 15-16),"Theresis (Prosopite), 24/6/174",Theresis (Prosopite), 24/6/174,Harmachis,,,,,['173 Pr 2-d1'],,1,0,0,"P.Brux.inv, E.7616 recto, ii; PI. I; photograph.",Complete except for minor holes and loss at right where the declara- tion is glued to the next one; age is lost at right (not indicated by editor).,No
179,173,Pr,3,P.Brux. I 3,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Therothbechis,Therobasthis,,,,"['173-Pr-3-d1', '173-Pr-3-d2']",,3,0,2,"P.Brux.inv. E.7616 recto, iii; PL I; photograph.",Complete. Problems posed by fact that the sisters call their father Peteesis alias Athas in lines 3 and 33-34 but Tithoes alias Athas in 18; also both their mother and their father's mother are called Taartysis d. Pnepheros. Perhaps the latter information is an error.,No
180,173,Pr,4,P.Brux. I 4,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Thremmemphis,,,,,['173 Pr-4-d1'],,2,0,0,"P.Brux.inv. E.7616 recto, iv; PI. 56 in O. Montevecchi, La","Complete. The daughter is the owner of the property, coming to her from her (evidently deceased) father, hence the declarant. But the mother actually submits the declaration.",No
181,173,Pr,5,P.Brux. I 5,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Pantbeus,,,,,['173 Pr-5-d1'],,8,0,0,"P.Brux.inv. E.7616 recto, v; PI. II; photograph.",Complete.,No
182,173,Pr,6,P.Brux. I 6,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Athas,,,,,['173 Pr 6-d1'],,0,0,0,"P.Brux.inv. E.7616 recto, vi; PI. II; photograph.",Complete. Declares property in which no one lives.,No
183,173,Pr,7,P.Brux. I 7,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Thapsois,,,,,['173 Pr 7-d1'],,4,0,0,"P.Brux.inv. E.7616 recto, vii; photograph.",Complete.,No
184,173,Pr,8,P.Brux. I 8,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Pnepheros,,,,,['173 Pr-8-d1'],,1,0,0,"P.Brux.inv. E.7616 recto, viii; photograph.",Complete.,No
185,173,Pr,9,P.Brux. I 9,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Pantbeus,,,,,['173 Pr 9-d1'],,0,0,0,"P.Brux.inv. E.7616 recto, ix; photograph.","Complete. Apparently Pantbeus and his great-aunt declare their three- fifths of property coming from his grandfather = her brother Orsenoupis, in which no one lives. Unlike eds., we take Eudaimon as patronymic rather than as a second name for Pantbeus.",No
186,173,Pr,10,P.Brux. I 10 (cf. BASP2S [1991] 16-17),"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Pantbeus,Tithoennesis,Haronnesis,Phalakres,,"['173 Pr 10-d1', '173 Pr 10-d2', '173 Pr 10-d3', '173 Pr 10-d4']",,17,0,0,"P.Brux.inv. E.7616 recto, x; photograph.",Complete. The order in which the brothers are given and his wife's age support the supposition that the scribe has simply omitted a mu in the age of no.7.,No
187,173,Pr,11,P.Brux. I 11 (cf. BASP2& [1991] 17-19),"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Harendotes,,,,,['173-Pr-11-d1'],,2,0,0,"P.Brux.inv. E.7616 recto, xi; PI. Ill; photograph.","Complete. See BASP 28 (1991) 17-19 for a detailed discussion of this text. The property was formerly that of Pantbeus, the (probably dead) father of Harendotes, whose mother is listed first even though he is the nominal declarant.",No
188,173,Pr,12,P.Brux. I 12,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Thesies,Thermouthis,,,,"['173-Pr-12-d1', '173-Pr-12-d2']",,1,0,0,"P.Brux.inv. E.7616 recto, xii; PI. Ill; photograph.","Complete. As no relationship between the single occupant of the noubis and lot, owned by the declarants, and the latter is given, the occupant is presumably not a relative but a renter.",No
189,173,Pr,13,"P.Brux. I 13 (cf. Bingen, Cd'E 47 [1972] 231-35; BL 7.31-32)","Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Pantbeus,Stoetis,Thapeis,Thanibechis,,"['173-Pr-13-d1', '173-Pr-13-d2', '173-Pr-13-d3', '173-Pr-13-d4']",,3,0,0,"P.Brux.inv. E.7616 recto, xiii; PI. HI; photograph.","Complete. P.Brux. gives a stemma, based on Bingen's arguments, showing the three non-resident declarants (sister and two nieces of Pantbeus). Thapeis [no.3] is of uncertain relationship to the other two residents; she is not the Thapeis who figures among the declarants.",No
190,173,Pr,14,P.Brux. I 14,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Tatithoes,,,,,['173-Pr-14-d1'],,2,0,0,"P.Brux.inv. E.7616 recto, xiv; photograph.","Complete. Tatithoes calls herself yvvrj, translated by Nachtergael as ""veuve""; the point of the term is the contrast with OvyaTrjp, as Thermouthis is called. Cf. P.Brux. I 4 for a parallel.",No
191,173,Pr,15,P.Brux. I 15,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Thermouthion,,,,,['173 Pr-15-d1'],,6,0,0,"P.Brux.inv. E.7616 recto, xv; photograph.","Complete. Nachtergael shows no.2 as the son of the declarant by a first husband Pnepheros s. Tithoennesis, and nos.5-6 as her sons by a sec- ond husband Pnepheros s. Tithoes. This seems an unnecessary multiplication of husbands; all three can perfectly well be by Pnepheros s. Tithoes. He also shows Areia [no.3] as the wife of Tithoennesis [no.2], something not stated by the declaration; nor does the declaration call Thermouthis [no.4] the daughter e£ an<t>OTepav (as with Dionysios, no.6).",No
192,173,Pr,16,P.Brux. 116#,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Pantbeus,Tithoenesis,Palakres,Haronnesis,,"['173 Pr-16-d1', '173 Pr-16-d2', '173 Pr-16-d3', '173 Pr-16-d4']",,0,0,0,"P.Brux.inv. E.7616 recto, xvi; photograph.",Complete. They declare properties in which no one is registered. The same declarants appear in 173-Pr-10.,No
193,173,PM7,,P.Brux. 117,"Thelbonthon Siphtha (Prosopite), 20/7/174",Thelbonthon Siphtha (Prosopite), 20/7/174,Ammonios,,,,,['173-PM7-d1'],,2,0,0,"P.Brux.inv. E.7616 recto, xvii; photograph.",Complete.,No
194,173,Pr,18,P.Brux. 118,"Thelbonthon Siphtha (Prosopite), 19/7/174",Thelbonthon Siphtha (Prosopite), 19/7/174,Kallinikos,Osarapollon,Areia,Heraklas,Kallinikos,"['173 Pr 18-d1', '173 Pr 18-d2', '173 Pr 18-d3', '173 Pr 18-d4', '173 Pr 18-d5']",,0,0,0,"P.Brux.inv. E.7616 recto, xviii; photograph.",Complete except losses along right margin. Declare property in which no one is registered.,No
195,187,An,1,"P.Oxy. VIII 1110 (cf. BL 1.332, 3.134, 7.135, 8.241)","Antinoopolis, 187/8",Antinoopolis, 187/8,Dioskourides,,,,,['187-An 1-d1'],,2,0,13,"Bodl. Ms. Gr. Class, e 100 (P); photograph.","Many lacunae; minimum of about 20 letters lost at left, probably with some slaves lost. Broken at bottom; only date and subscription lost there. For the declarant, see the discussion of D. Hagedorn, P.Koln HI 143.9-1 In. He suggests that the Zoilos s. Zoilos of line 11 is the declarant's brother. But the persons declared later in the text are in the nominative, and Zoilos therefore cannot be among them. (This person could also be in the accusative; but not the genitive). Rather, Zoilos must be the father of the person declared. In that event it is unlikely (though not impossible) that he is the declarant's brother. We have adopted with hesitation the editors' view that this is the declarant's wife.",Yes
196,187,An,2,"PS7XII 1227 (cf. BL 3.229, 6.185, 8.408)","Antinoopolis, 12/8/188",Antinoopolis, 12/8/188,Valerius alias Philantinoos,,,,,['187-An-2-d1'],,2,1,2,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Virtually complete. Recto has accounts; this is a copy of the original, made on the verso. Spouses are perhaps first cousins. This belongs to the archive of P.Fam.Tebt., cf. 187-Ar-19.",No
